result_type,checkpoint,split,strategy,transaction_cost_pct,date,cash,position_btc,portfolio_value,drawdown_pct,action,trade_value,transaction_cost
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-11,0.0,0.0037081094978662077,138.36428192495788,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-12,0.0,0.0037081094978662077,137.71195883419065,-0.4714533850007723,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-13,0.0,0.0037081094978662077,137.40221581269702,-0.695313919803837,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-14,0.0,0.0037081094978662077,135.3547454929631,-2.175081885386434,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-15,0.0,0.0037081094978662077,131.7774627333185,-4.760491002447992,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-16,0.0,0.0037081094978662077,140.4653315299754,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-17,0.0,0.0037081094978662077,134.0658442919919,-4.555919363361085,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-18,0.0,0.0037081094978662077,135.70449553958608,-3.38933168671115,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-19,0.0,0.0037081094978662077,135.66377875912318,-3.418318754209875,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-20,0.0,0.0037081094978662077,138.63342404441042,-1.304170549139417,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-21,0.0,0.0037081094978662077,138.9686748035046,-1.0654990168527212,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-22,0.0,0.0037081094978662077,132.8015238012468,-5.456013697652614,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-23,0.0,0.0037081094978662077,138.80321490196505,-1.1832931371081095,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-24,0.0,0.0037081094978662077,138.27399814956647,-1.560052830503093,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-25,0.0,0.0037081094978662077,139.87093316530962,-0.42316375022325947,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-26,0.0,0.0037081094978662077,140.15463251150186,-0.22119267088138322,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-27,0.0,0.0037081094978662077,138.9766848994121,-1.0597964738691532,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-28,0.0,0.0037081094978662077,138.14254856482765,-1.653634345106763,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-29,0.0,0.0037081094978662077,140.2818235642392,-0.13064288799050505,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-11-30,0.0,0.0037081094978662077,140.38341997055966,-0.05831443141417696,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-01,0.0,0.0037081094978662077,139.84300646565381,-0.4430453105710157,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-02,0.0,0.0037081094978662077,143.46212133557125,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-03,0.0,0.0037081094978662077,146.3825472611954,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-04,0.0,0.0037081094978662077,148.24424998596785,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-05,0.0,0.0037081094978662077,155.66681332529427,0.0,HOLD,0.0,0.0
official_checkpoint,checkpoints/cmamba_v_official.ckpt,test,buy_hold,0.0,2023-12-06,0.0,0.0037081094978662077,163.45587114319497,0.0,HOLD,0.0,0.0
